"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C10, C11, C12, C15, C16, C17","9","2.2uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"2","C4, C5, C6","3","220uF 100V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"3","C7, C8, C9","3","100uF","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm",""
"4","C13","1","0.1uF","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"5","C14","1","0.33uF","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"6","CBOOT1, CBOOT2, CBOOT3","3","6.8uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"7","D1","1","P6KE68A","P6KE68A:DIOAD1300W80L670D310",""
"8","D2, D3, D4","3","1N5407","Diode_THT:D_DO-201AD_P15.24mm_Horizontal",""
"9","F1","1","Fuse","Fuse:Fuse_Littelfuse-LVR100",""
"10","FB1","1","FerriteBead","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"11","J2","1","Horn","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical",""
"12","J3","1","Logic_Conn","Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical",""
"13","J4","1","Logic_Test","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"14","J6","1","IN","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical",""
"15","J12","1","A","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm",""
"16","J13","1","B","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm",""
"17","J14","1","C","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm",""
"18","Q1, Q2, Q3, Q4, Q5, Q6","6","IRFB3607","KON:TO254P1016X419X2286-3",""
"19","Q7, Q8, Q9, Q10, Q11, Q12","6","2N7000","Package_TO_SOT_THT:TO-92_Inline",""
"20","R1, R7, R17, R18, R23, R24","6","1.2K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"21","R2, R8, R15, R16, R21, R22","6","2.2K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"22","R3, R9, R12, R14, R19, R20","6","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"23","R4, R5, R6, R10, R11, R13","6","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"24","U1, U2, U6, U7, U9, U11","6","6N137","Package_DIP:DIP-8_W7.62mm",""
"25","U3, U8, U10","3","L6387","",""
"26","U4","1","Buck Converter","KiCad:YAAJ_DCDC_StepDown_LM2596",""
"27","U5","1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
